opcode,tags
aaa,ascii adjust byte add
aad,ascii adjust word div
aam,ascii adjust word mul
aas,ascii adjust byte sub
adc,add carry arithmetic
add,add arithmetic
and,logical and
call,call procedure push stack control
cbw,convert byte word
clc,clear carry flag
cld,clear direction flag
cli,clear interrupt flag
cmc,complement carry flag
cmp,compare
cmpsb,compare byte mem
cmpsw,compare word mem
cwd,convert word dword
daa,adjust bcd byte add arithmetic
das,adjust bcd byte sub arithmetic
dec,decrement by 1,,"0x48…0x4f, 0xfe/1, 0xff/1"
retf,return from far procedure,,"0xca, 0xcb"
rol,rotate left,,"0xc0…0xc1/0 (since 80186), 0xd0…0xd3/0"
ror,rotate right,,"0xc0…0xc1/1 (since 80186), 0xd0…0xd3/1"
sahf,store ah into flags,,0x9e
sal,shift arithmetically left (signed shift left),(1) r/m <<= 1; (2) r/m <<= cl;,"0xc0…0xc1/4 (since 80186), 0xd0…0xd3/4"
sar,shift arithmetically right (signed shift right),(1) (signed) r/m >>= 1; (2) (signed) r/m >>= cl;,"0xc0…0xc1/7 (since 80186), 0xd0…0xd3/7"
sbb,subtraction with borrow,"alternative 1-byte encoding of sbb al, al is available via undocumented salc instruction","0x18…0x1d, 0x80…0x83/3"
scasb,compare byte string,,0xae
scasw,compare word string,,0xaf
shl,shift left (unsigned shift left),,"0xc0…0xc1/4 (since 80186), 0xd0…0xd3/4"
shr,shift right (unsigned shift right),,"0xc0…0xc1/5 (since 80186), 0xd0…0xd3/5"
stc,set carry flag,cf = 1;,0xf9
std,set direction flag,df = 1;,0xfd
sti,set interrupt flag,if = 1;,0xfb
stosb,store byte in string,if (df==0) *es:di++ = al; else *es:di-- = al;,0xaa
stosw,store word in string,if (df==0) *es:di++ = ax; else *es:di-- = ax;,0xab
sub,subtraction,(1) r/m -= r/imm; (2) r -= m/imm;,"0x28…0x2d, 0x80…0x83/5"
test,logical compare (and),(1) r/m & r/imm; (2) r & m/imm;,"0x84, 0x84, 0xa8, 0xa9, 0xf6/0, 0xf7/0"
wait,wait until not busy,waits until busy# pin is inactive (used with floating-point unit),0x9b
xchg,exchange data,r :=: r/m; a spinlock typically uses xchg as an atomic operation. (coma bug).,"0x86, 0x87, 0x91…0x97"
xlat,table look-up translation,"behaves like mov al, [bx+al]",0xd7
xor,exclusive or,(1) r/m ^= r/imm; (2) r ^= m/imm;,"0x30…0x35, 0x80…0x83/6"

